@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE C6	REAL
@ATTRIBUTE C7	REAL
@ATTRIBUTE C8	REAL
@ATTRIBUTE C9	REAL
@ATTRIBUTE C10	REAL
@ATTRIBUTE C11	REAL
@ATTRIBUTE C12	REAL
@ATTRIBUTE C13	REAL
@ATTRIBUTE C14	REAL
@ATTRIBUTE C15	REAL
@ATTRIBUTE C16	REAL
@ATTRIBUTE C17	REAL
@ATTRIBUTE C18	REAL
@ATTRIBUTE C19	REAL
@ATTRIBUTE C20	REAL
@ATTRIBUTE C21	REAL
@ATTRIBUTE C22	REAL
@ATTRIBUTE C23	REAL
@ATTRIBUTE C24	REAL
@ATTRIBUTE C25	REAL
@ATTRIBUTE C26	REAL
@ATTRIBUTE C27	REAL
@ATTRIBUTE C28	REAL
@ATTRIBUTE C29	REAL
@ATTRIBUTE C30	REAL
@ATTRIBUTE C31	REAL
@ATTRIBUTE C32	REAL
@ATTRIBUTE C33	REAL
@ATTRIBUTE C34	REAL
@ATTRIBUTE classe {388,185,344,111,612,041,211}


@DATA
0, 0, 2.6011, 0, 0, 0, 0.0234, 0, 1.0525, 0, 0, 0.0881, 0, 0, 0, 0, 0, 0.1378, 0, 0, 0, 0, 0.0274, 0, 0, 0.0792, 0.665, 0, 0.075, 0, 0, 0, 0, 0.0053, 0.71,041
0.0911, 0, 0.1044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1309, 0, 0.0922, 0, 0, 0.0152, 1.065,041
0.0911, 0, 1.7433, 0, 0, 0, 0, 0.2462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0406, 0, 0, 0, 0, 0, 0, 0, 0.0364, 0, 0, 0.0727, 0, 0.0198, 0, 0, 0.0136, 0,041
0.1367, 0, 3.7678, 0, 0, 0, 0.0227, 0.3123, 0.1125, 0, 0, 0.0441, 0, 0, 0, 0, 0.1821, 0.0656, 0, 0, 0, 0, 0.0274, 0, 0, 0, 0, 0, 0, 0, 0.0784, 0, 0, 0.0176, 0.71,041
0, 0, 0.6944, 0, 0, 0, 0, 0, 1.2275, 0, 0, 0.0315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0364, 0, 0, 0.06, 0, 0.02, 0, 0, 0.0029, 2.125,041
0.0456, 0.195, 3.9656, 0, 0.0735, 0, 0.0519, 0, 0, 0, 0, 0.177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1505, 0, 0.0729, 0, 0, 0.0046, 0.355,041
0, 0, 0.6244, 0, 0, 0, 0, 0.0623, 0, 0, 0, 0.0441, 0, 0, 0, 0, 0, 0.2411, 0, 0, 0, 0, 0, 0, 0, 0.0394, 0, 0, 0.6918, 0, 0, 0, 0, 0.0105, 0.71,041
0.1611, 0, 1.3344, 0, 0, 0, 0, 0, 0.175, 0, 0, 0.23, 0, 0, 0, 0.5714, 0, 0.06, 0, 0, 0, 0, 0.0274, 0, 0, 0.0314, 0, 0, 0, 0, 0.1267, 0, 0, 0.0142, 0.71,041
0.0456, 0, 2.3611, 0, 0.1465, 0, 0, 0.3746, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0.1172, 0, 0, 0, 0.4075, 0, 0, 0, 0, 0, 0, 0.0682, 0, 0.0386, 0, 0, 0.0064, 0.355,041
0.0911, 0, 0.2922, 0.16, 0, 0, 0, 0.25, 0, 0, 0, 0.0441, 0, 0, 0, 0, 0, 0.1578, 0, 0, 0, 0.4075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0069, 1.065,041
0.0456, 0, 3.2644, 0, 0, 0, 0, 0.0623, 0, 0, 0, 0.0441, 0, 0, 0, 0, 0, 0.1333, 0, 0, 0, 0.4075, 0, 0, 0.5375, 0.1175, 0, 0, 0.0377, 0, 0.0606, 0, 0, 0.0117, 0,041
0.25, 0, 0.1044, 0.16, 0, 0, 0.0199, 0, 0, 0, 0, 0.0356, 0, 0, 0, 0, 0.1216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1495, 0, 0, 0, 0, 0.0088, 0.355,041
0, 0, 1.7933, 0, 0, 0, 0.0204, 0.1231, 0, 0, 0, 0.0441, 0, 0, 0, 0, 0, 0.085, 0, 0, 0, 0, 0, 0, 0, 0.0908, 0, 0, 0, 0, 0.0235, 0, 0, 0.0051, 0,041
0.0778, 0, 0.1044, 0, 0, 0, 0, 0, 0.2563, 0.305, 0.895, 0, 0, 0, 0, 0.8179, 0, 0, 0, 0, 0, 0, 0, 0.3056, 0, 0, 0, 0, 0, 1.7833, 0.0159, 0, 0, 0.0047, 0,041
0, 0, 0.3289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0005, 0.355,041
0, 0, 0.0844, 0, 0.0875, 0, 0, 0, 0, 0, 0, 0.6648, 0, 0, 0, 0.0857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333, 0, 0, 0.0063, 0,041
0, 0, 1.0833, 0, 0, 0, 0.0651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0645, 0.1193, 0.0608, 0, 0, 0.0018, 0,041
0.0456, 0, 3.6489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1241, 0, 0, 0, 0, 0.005, 0,041
0.1689, 0, 1.0056, 0, 0, 0, 0, 0, 0, 0, 0, 0.0356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2995, 0, 0.0733, 0, 0, 0.0149, 0.355,041
0, 0, 0.5667, 0, 0, 0, 0.0279, 0.0908, 0.1125, 0, 0, 0.1333, 0, 0, 0, 0.4929, 0, 0, 0, 0, 0, 0, 0.0274, 0, 0, 0.0311, 0.665, 0, 0, 0.8367, 0.0671, 0, 0, 0.0111, 0,041
0, 0, 1.2144, 0, 0.2145, 0, 0, 0, 0, 0, 0, 0.0441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0101, 0.355,041
0, 0, 0.3122, 0, 0, 0, 0, 0.1185, 0, 0, 0, 0.1763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0198, 0, 0, 0.0009, 0,041
0, 0, 0.1744, 0, 0, 0, 0.0966, 0.0908, 0, 0, 0, 0.0822, 0, 0, 0, 0.4543, 0.1637, 0.1061, 0, 0, 0, 0, 0, 0, 0, 0.0958, 0, 0, 0.1114, 0, 0, 0, 0, 0.0073, 1.065,041
0.0811, 0, 1.0211, 0, 0, 0, 0, 0.1185, 0, 0, 0, 0.0893, 0, 0, 0, 0.1707, 0, 0.0656, 0, 0, 0, 0, 0.0548, 0, 0, 0, 0, 0, 0, 0, 0.04, 0, 0, 0.0084, 0,041
0.0456, 0, 2.0067, 0.16, 0, 0, 0.0157, 0.1531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2183, 0, 0, 0, 0.815, 0, 0, 0, 0, 0, 0, 0.0559, 0, 0, 0, 0, 0.0037, 0.71,041
0, 0, 1.6444, 0, 0, 0, 0, 0, 0.7013, 0, 0, 0.2204, 0, 0, 0, 0.1707, 0, 0.085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0025, 0.355,041
0.2589, 0, 2.9511, 0, 0.065, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1989, 0, 0, 0.0767, 0, 0, 0, 0.4075, 0, 0, 0, 0.1303, 0, 0, 0, 0, 0, 0, 0, 0.0086, 0.355,041
0.0456, 0, 1.2489, 0, 0, 0, 0.1182, 0.0623, 0, 0, 0, 0, 0, 0, 0, 0, 0.0853, 0.1822, 0, 0, 0, 0.4075, 0, 0, 0, 0, 0, 1.11, 0, 0, 0, 0, 0, 0.0045, 0.355,041
0.0811, 0, 1.3333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3113, 0.0822, 0, 0, 0.0035, 0,041
0, 0, 2.39, 0, 0, 0, 0, 0.39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.17, 0, 0, 0, 0, 0, 0, 0.4625, 0, 0, 0, 0.3945, 0, 0, 0, 0, 0.0016, 0,041
0, 0.185, 0.6644, 0, 0, 0, 0, 0.1569, 0, 0, 0, 0.2067, 0, 0, 0, 0.09, 0.0968, 0, 0, 0, 0, 0, 0.0596, 0, 0.695, 0.0831, 0, 0, 0.1155, 0, 0.0186, 0, 0, 0.0148, 0,041
0.2333, 0, 0.1744, 0.9533, 0, 0, 0.0267, 0.0908, 0, 0, 0, 0.1763, 0, 0, 0, 0.3064, 0.2374, 0.1261, 0, 0, 0, 0.815, 0.0909, 0, 0, 0.0314, 0, 1.11, 0.0559, 0, 0.0525, 0, 0, 0.0343, 1.065,041
0.0456, 0, 2.3922, 0, 0, 0, 0, 0, 0, 0, 0, 0.3085, 0, 0, 0, 0, 0, 0.0767, 0, 0, 0, 0.4075, 0, 0, 0.305, 0, 0, 0, 0, 0, 0, 0, 0, 0.0035, 1.065,041
0.0811, 0, 1.7689, 0, 0, 0, 0, 0, 0.5263, 0, 0, 0.0756, 0, 0, 0, 0.0657, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0022, 0.71,041
0, 0, 0.5833, 0.16, 0.0735, 0, 0.16, 0, 0.475, 1.2688, 3.4033, 0.0356, 0, 0, 0, 1.565, 0.0532, 0.4128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11, 1.1527, 0, 0, 0, 0, 0.0099, 0,041
0, 0.185, 3.2456, 0, 0.0735, 0, 0, 0, 0, 0, 0, 0.0441, 0, 0, 0, 0.0657, 0, 0.0822, 0, 0, 0, 0, 0, 0, 0.305, 0.1303, 0, 0, 0.0377, 0, 0, 0, 0, 0.0084, 0.71,041
0.0456, 0, 3.2611, 0, 0, 0, 0, 0.4369, 0, 0, 0, 0.1256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0314, 0, 0, 0, 0, 0, 0, 0, 0.0067, 0.355,041
0, 0, 0.3789, 1.4733, 0, 0, 0, 0.1185, 0, 0, 0, 0.0544, 0, 0, 0, 0.6164, 0, 0, 0, 0, 0, 0, 0, 0, 0.2325, 0.0594, 0, 1.11, 0, 0, 0.0159, 0, 0, 0.0078, 0,041
0.0778, 0, 0.1744, 0, 0, 0, 0.0312, 0, 0, 0, 0, 0.3122, 0, 0, 1.9567, 0.0857, 0.0721, 0, 0, 1.9, 0, 0, 0, 0, 0, 0.0675, 0, 0, 0.1455, 0, 0.0731, 0, 0, 0.0166, 0,041
0, 0, 1.7144, 0, 0, 0, 0.0319, 0, 0, 0, 0, 0.1878, 0, 0, 0.3456, 0.2736, 0, 0, 0, 0, 0, 0, 0.0274, 0, 0, 0, 0, 0, 0.1805, 0, 0.1486, 0, 0, 0.0011, 1.415,041
0.0911, 0, 3.7322, 0, 0.1465, 0, 0.0252, 0, 0, 0, 0, 0.1978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2325, 0, 0, 0, 0.1995, 0, 0.0535, 0, 0, 0.0064, 0.355,041
0, 0, 2.5789, 0, 0, 0, 0, 0.3223, 0, 0, 0, 0.0504, 0, 0, 0, 0, 0, 0.1217, 0, 0, 0, 0.4075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0044, 0,041
0.0778, 0, 0.1744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0343, 0, 0.1383, 0, 0, 0, 0, 0.0596, 0, 0, 0, 0, 0, 0, 0, 0.0724, 0, 0, 0.0126, 0,041
0.1367, 0, 2.21, 0.6367, 0.1465, 0, 0, 0.0785, 0.2263, 0, 0, 0.1322, 0, 0, 0, 0, 0, 0.385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0035, 0,041
0.0778, 0, 0.3622, 0, 0, 0, 0.0199, 0, 0, 0, 0, 0.0441, 0, 0, 0, 0.5643, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0.0797, 0, 0, 0.0605, 0, 0.0159, 0, 0, 0.0149, 0,041
0, 0.195, 0, 0, 0.065, 0, 0.0827, 0, 0, 0, 0, 0.0544, 0, 0, 0, 0.7821, 0.2716, 0.2261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0159, 0, 0, 0.0078, 0.355,041
0.2267, 0, 2.48, 0, 0, 0, 0.0284, 0, 0, 0, 0, 0, 0, 0, 0.2378, 0, 0, 0.0978, 0, 0, 0, 0, 0, 0, 0, 0.0314, 0, 4.43, 0.0645, 0, 0, 1.93, 0, 0.0111, 0,041
0, 0, 0.2778, 0, 0, 0, 0.0306, 0, 0, 0, 0, 0, 0, 0, 0, 0.8014, 0, 0.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11, 0, 0, 0, 0, 0, 0.0132, 0,041
0.1811, 0, 0.3478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.215, 0, 0.1256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21, 0.1114, 0, 0.0925, 0, 0, 0.0083, 0,041
0, 0, 0.5244, 0, 0, 0, 0, 0.3746, 0, 0, 0, 0.1374, 0, 0, 0.1733, 0, 0, 0.2028, 0, 0, 0, 0, 0.1096, 0, 0.77, 0, 0, 0, 0.2927, 0, 0.0827, 0, 0, 0.0133, 0.71,041
0, 0, 1.8267, 0, 0, 0, 0, 0.2438, 0.1688, 0, 0, 0, 0, 0, 0, 0, 0, 0.1378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0727, 0, 0.0306, 0, 0, 0.0024, 0,041
0, 0, 0.1044, 0, 0, 0, 0, 0, 0, 0, 0, 0.0356, 0, 0, 0, 0, 0, 0.2083, 0, 0, 0, 0, 0.0596, 0, 0, 0.0708, 0, 0, 0.0559, 0, 0.02, 0, 0, 0.0108, 0,041
0, 0.185, 0.3844, 0, 0, 0, 0, 0, 0, 0, 0, 0.2115, 0, 0, 0, 0, 0, 0.0817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0186, 0, 0, 0.0108, 0,041
0.0911, 0, 0.7278, 0.3167, 0, 0, 0.0185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1821, 0.0767, 0, 0, 0, 9.965, 0, 0, 0.305, 0, 0, 0, 0, 0, 0.0278, 0, 0, 0.002, 0.71,041
0, 0, 1.8533, 0.16, 0, 0, 0, 0, 0, 0, 0, 0.2107, 0, 0, 0, 0, 0.0842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1205, 0, 0.0971, 0, 0, 0.0012, 0,041
0, 0, 0.1744, 0.49, 0.2725, 0, 0.05, 0, 0.6613, 0, 0, 0.0822, 0, 0, 0, 0.6257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0486, 0, 0, 0.0377, 0.1227, 0.089, 0, 0, 0.0126, 0,041
0, 0, 0.3967, 0, 0, 0, 0.0191, 0.0908, 0, 0, 0, 0, 0, 0, 0, 0.27, 0.0605, 0.1133, 0, 0, 0, 0, 0.0274, 0, 0, 0, 0, 0, 0.8032, 0, 0.0896, 0, 0, 0.0092, 1.77,041
0, 0, 0.1044, 0, 0.0875, 0, 0, 0.1185, 0, 0, 0, 1.9315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0167, 0, 0, 0, 0,041
0, 0, 0.1889, 0, 0, 0, 0, 0.0908, 0, 0, 0, 0.0452, 0, 0, 0.2378, 0.2714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0159, 0, 0, 0.0044, 0,041
0.1367, 0.185, 1.63, 0.3167, 0.0745, 0, 0, 0.3408, 0, 0, 0, 0.063, 0, 0, 0, 0, 0, 0.1172, 0, 0, 0, 0.61, 0, 0, 0, 0, 0, 0, 0.1945, 0.11, 0, 0, 0, 0.0082, 0.71,041
0, 0.185, 0.6944, 0, 0, 0, 0, 0, 0, 0, 0, 0.1122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2.21, 0.0877, 0, 0.0345, 0, 0, 0.0091, 0,041
0.1233, 0, 0.1044, 0, 0, 0, 0, 0.1231, 0, 0, 0, 0.0315, 0, 0, 0, 0.0914, 0.1216, 0, 0, 0, 0, 0, 0, 0, 0, 0.0458, 0, 0, 0, 0, 0, 0, 0, 0.0012, 0,041
0.2333, 0, 0.1744, 0.16, 0.1285, 0, 0.1476, 0.0908, 0.2213, 0, 0, 0.0315, 0, 0, 0, 0.1086, 0.7674, 0, 0, 0, 0, 0, 0.0635, 0, 0, 0, 0, 0, 0, 0.1193, 0.0278, 0, 0, 0.0149, 0,041
0.0811, 0, 0.4544, 0.2467, 0, 0, 0.0267, 0, 0, 0, 0, 0.063, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0.0822, 0, 0.5425, 0.1175, 0, 0, 0.1114, 0, 0, 0, 0, 0.0159, 0,041
0.1811, 0.185, 0.1044, 0, 0, 0, 0, 0, 0, 0, 0, 0.0504, 0, 0, 0, 0.0914, 0.0605, 0.085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21, 0.5945, 0, 0.0373, 0, 0, 0.0067, 0,041
0, 0, 0.1744, 0.16, 0, 0, 0, 0.3731, 0, 0, 0, 0.1911, 0, 0, 0, 0, 0, 0.0411, 0, 1.9, 0, 0, 0, 0, 0, 0.0925, 0, 0, 0, 0.2533, 0.079, 0, 0, 0.0222, 0,041
0.0456, 0, 2.1267, 0, 0, 0, 0, 0, 0, 0, 0, 0.0863, 0, 0, 0, 0, 0, 0.0406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11, 0.0825, 0, 0, 0.0028, 0,041
0.0456, 0, 3.1778, 0, 0.22, 0, 0, 0, 0, 0, 0, 0.0441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0548, 0, 0, 0, 0, 0, 0, 0, 0.0588, 0, 0, 0.0031, 0,041
0.0456, 0, 0.2922, 0, 0.065, 0, 0, 0, 0, 0, 0, 0.1196, 0, 0, 0, 0.725, 0.0532, 0.1656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0377, 0, 0, 0, 0, 0.0029, 0,041
0, 0, 0.7111, 0, 0, 0, 0.061, 0, 0, 0, 0, 0.3007, 0, 0, 0, 0.0914, 0, 0.11, 0, 0, 0, 0, 0.0635, 0, 0.2325, 0, 0, 0, 0, 0, 0, 0, 0, 0.0043, 0,041
0.0778, 0.185, 0.3622, 0, 0, 0, 0.061, 0, 0, 0.2838, 0, 0.253, 0, 0, 0, 0.2821, 0, 0, 0, 0, 0, 0, 0, 0, 0.2325, 0, 0, 0, 0.0377, 0, 0.0439, 0, 0, 0.0085, 0,041
0, 0, 0.1744, 0, 0, 0, 0, 0, 0, 0, 0.3567, 0.1748, 0, 0, 0, 1.87, 0, 0.1389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.326, 0.0186, 0, 0, 0.0078, 0.355,041
0, 0, 0.6222, 0, 0, 0, 0, 0, 0, 0, 0, 0.1111, 0, 0, 0, 0.0793, 0, 0.1222, 0, 0, 0, 0, 0.0548, 0, 0.27, 0.0336, 0, 0, 0.0782, 0, 0.0159, 0, 0, 0.0109, 0,041
0, 0, 0.2922, 0, 0, 0, 0, 0, 0, 0, 0, 0.1441, 0, 0, 0, 0.4636, 0, 0.1789, 0, 0, 0, 0, 0, 0, 0.27, 0, 0, 0, 0.2423, 0, 0, 0, 0, 0.0121, 0.355,041
0.2333, 0, 0.3144, 0, 0, 0, 0, 0, 0.2213, 0, 0, 0.163, 0, 0, 0, 0.9579, 0, 0, 0, 0, 0, 0, 0.0274, 0, 0, 0.125, 0, 1.11, 0, 0.2293, 0.108, 0, 0, 0.0194, 0,041
0, 0, 2.9589, 0, 0.065, 0, 0, 0, 0, 0, 0, 0.3156, 0, 0, 0, 0.7121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0611, 0, 0, 0, 0, 0, 0, 0, 0.0115, 0.355,041
0, 0.185, 0.4522, 0, 0, 0, 0, 0.0908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0411, 0, 0, 0, 0, 0, 0, 0, 0, 0.665, 0, 0.2595, 0.1567, 0.0531, 0, 0, 0.0113, 0,041
0, 0, 1.8889, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2325, 0, 0, 0, 0.0986, 0, 0, 0, 0, 0.0061, 0,041
0.0456, 0, 0.6767, 0, 0, 0, 0.0199, 0, 0, 0, 0, 0.0356, 0, 0, 0, 0, 0.0968, 0.085, 0, 0, 0, 0, 0, 0, 0.4625, 0, 0, 1.11, 0, 0, 0.0186, 0, 0, 0.0103, 0,041
0, 0, 0.6767, 0, 0, 0.454, 0, 0, 0, 0, 0, 0.1337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0113, 0,041
0.0456, 0, 1.3333, 0.16, 0, 0, 0, 0.1185, 0, 0, 0, 0.0441, 0, 0, 0.1989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11, 0.0718, 0, 0, 0.005, 0,041
0, 0, 0.6044, 0, 0, 0, 0, 0, 0, 0, 0, 0.1493, 0, 0, 0, 0.6786, 0.0689, 0.1217, 0, 0, 0, 0, 0.0274, 0, 0, 0, 0, 1.11, 0.4545, 0, 0.0159, 0, 0, 0.0052, 0,041
0, 0, 0.1744, 0, 0, 0, 0, 0, 0.1125, 9.9288, 0, 0.1919, 0, 0, 0, 0.4679, 0, 0.0978, 0, 0, 0, 0, 0.1096, 0, 0, 0.155, 0, 0, 0.0545, 0, 0.0441, 0, 0, 0.012, 0,041
0, 0, 1.0367, 0.16, 0, 0, 0, 0.3623, 0, 0, 0, 0, 0, 0, 0.3511, 0, 0, 0.0811, 0, 0, 0.2063, 0, 0, 0, 0, 0, 0, 0, 0.06, 0, 0.061, 0, 0, 0.0042, 0,041
0.2011, 0.185, 0.8844, 0, 0, 0, 0.061, 0.0908, 0.2563, 0, 0, 0, 0, 0, 0, 0.2921, 0.0532, 0.0411, 0, 0, 0, 0, 0, 0, 0.27, 0, 0, 1.11, 0, 0, 0.0702, 0, 0, 0.0119, 0,041
